Date,Description,Amount (MUR),Category,Payee,Reference
01/09/2026,Shell fuel - delivery van,"-2,450.00",Fuel,Shell Riche Terre,CARD-8812
2026-09-02,Office stationery and printer ink,"-1,180.50",,Bureau Plus,CARD-8813
03/09/2026,Canva Pro yearly plan,"-4,990.00",,Canva,CARD-8814
04/09/2026,Cleaning products for shop floor,-865.00,Other,,PC-0419
05/09/2026,Courier - customer delivery Moka,-650.00,delivery,QuickMove Logistics,PC-0420
06/09/2026,Facebook ads boost - Small Appliances promo,"-3,500.00",,Meta Platforms,CARD-8815
08/09/2026,Juice transfer to CEB account 4471 - store 2 meter,"-2,340.00",,,JUICE-5521
09/09/2026,Refund - damaged kettle returned to supplier,"1,275.00",Other income,Mascarene Home Traders,CRN-221
10/09/2026,StockTrack Inventory app monthly plan,"-2,400.00",Software & subscriptions,StockTrack Inventory app,CARD-8816
11/09/2026,"Tea, coffee, sugar for staff room",-420.00,,,PC-0421
12/09/2026,Shell fuel - delivery van,"-2,610.00",Fuel,Shell Riche Terre,CARD-8817
12/09/2026,Shell fuel - delivery van,"-2,610.00",Fuel,Shell Riche Terre,CARD-8817
31/09/2026,Parking fees Port Louis,-150.00,Transport,,PC-0422
15/09/2026,Replacement shelf brackets,"Rs 1,23O.00",Repairs,Hardware Depot,PC-0423
16/09/2026,"=HYPERLINK(""http://example.invalid"",""Invoice"") printing flyers","-1,900.00",Marketing,PrintHub,CARD-8818
17/09/2026,Tech Fix Services - callout fee,"-1,500.00",,,PC-0424
2026-13-02,Bank charges card terminal,-310.00,Bank fees,Bank,BNK-77
18/09/2026,Mobile top-up for shop phone,-500.00,,,PC-0425
19/09/2026,Shopping bags printed logo,"(3,150.00)",Packaging,Sunrise Packaging Ltd,CARD-8819
20/09/2026,Customer deposit - cookware set order,"4,800.00",Sales,,RCPT-3301
21/09/2026,Pest control quarterly visit,"-2,200.00",,,PC-0426
15/10/2026,Security deposit - pop-up stall,"-5,000.00",,Bagatelle Events,CARD-8820
